date,tournament,team,opponent,location,result,score,opp_score,points,xg,city,country,neutral,age,min,crdY,crdR
2021-11-13,FIFA World Cup qualification,Mauritania,Zambia,-1,L,0,4,0,NA,Lusaka,Zambia,FALSE,25.8125,61.875,2,0
2014-03-05,Friendly,Zambia,Uganda,1,W,2,1,3,NA,Ndola,Zambia,FALSE,24.25,61.875,2,0
2014-03-05,Friendly,Uganda,Zambia,-1,L,1,2,0,NA,Ndola,Zambia,FALSE,22.142857142857142,66,1,0
2021-11-13,FIFA World Cup qualification,Liberia,Nigeria,0,L,0,2,0,NA,Tangier,Morocco,TRUE,24.4,66,1,0
2021-11-13,FIFA World Cup qualification,Nigeria,Liberia,0,W,2,0,3,NA,Tangier,Morocco,TRUE,25.615384615384617,76.15384615384616,0,0
2021-11-13,FIFA World Cup qualification,Malawi,Cameroon,0,L,0,4,0,NA,Johannesburg,South Africa,TRUE,25.2,61.33333333333333,1,1
2021-11-13,FIFA World Cup qualification,Cameroon,Malawi,0,W,4,0,3,NA,Johannesburg,South Africa,TRUE,26.1875,61.875,0,0
2021-11-13,FIFA World Cup qualification,France,Kazakhstan,1,W,8,0,3,NA,Paris,France,FALSE,26.25,61.875,1,0
2021-11-13,FIFA World Cup qualification,Kazakhstan,France,-1,L,0,8,0,NA,Paris,France,FALSE,26.533333333333335,66,2,0
2021-11-13,FIFA World Cup qualification,Wales,Belarus,1,W,5,1,3,NA,Cardiff,Wales,FALSE,25.866666666666667,66,1,0
2021-11-13,FIFA World Cup qualification,Belarus,Wales,-1,L,1,5,0,NA,Cardiff,Wales,FALSE,25.8125,61.875,3,0
2021-11-13,FIFA World Cup qualification,Belgium,Estonia,1,W,3,1,3,NA,Brussels,Belgium,FALSE,28.3125,61.875,0,0
2021-11-13,FIFA World Cup qualification,Estonia,Belgium,-1,L,1,3,0,NA,Brussels,Belgium,FALSE,26.9375,61.875,1,0
2021-11-13,FIFA World Cup qualification,Norway,Latvia,1,D,0,0,1,NA,Oslo,Norway,FALSE,25.76923076923077,76.15384615384616,2,0
2021-11-13,FIFA World Cup qualification,Latvia,Norway,-1,D,0,0,1,NA,Oslo,Norway,FALSE,25.866666666666667,66,2,0
2021-11-13,FIFA World Cup qualification,Montenegro,Netherlands,1,D,2,2,1,NA,Podgorica,Montenegro,FALSE,27,61.875,2,0
2021-11-13,FIFA World Cup qualification,Netherlands,Montenegro,-1,D,2,2,1,NA,Podgorica,Montenegro,FALSE,25.25,61.875,1,0
2021-11-14,Friendly,Azerbaijan,Qatar,1,D,2,2,1,NA,Baku,Azerbaijan,FALSE,26.0625,61.875,2,0
2021-11-14,Friendly,Qatar,Azerbaijan,-1,D,2,2,1,NA,Baku,Azerbaijan,FALSE,26.285714285714285,70.71428571428571,3,0
2021-11-14,FIFA World Cup qualification,Mali,Uganda,0,W,1,0,3,NA,Agadir,Morocco,TRUE,25.3125,61.875,1,0
2021-11-14,FIFA World Cup qualification,Uganda,Mali,0,L,0,1,0,NA,Agadir,Morocco,TRUE,24.714285714285715,70.71428571428571,2,0
2021-11-14,FIFA World Cup qualification,Zimbabwe,Ethiopia,1,D,1,1,1,NA,Harare,Zimbabwe,FALSE,28.285714285714285,70.71428571428572,1,0
2021-11-14,FIFA World Cup qualification,Ethiopia,Zimbabwe,-1,D,1,1,1,NA,Harare,Zimbabwe,FALSE,24.75,61.875,0,0
2014-04-27,Friendly,Philippines,Malaysia,1,D,0,0,1,NA,Cebu,Philippines,FALSE,25.352941176470587,58.23529411764705,2,0
2014-04-27,Friendly,Malaysia,Philippines,-1,D,0,0,1,NA,Cebu,Philippines,FALSE,26.875,61.875,1,0
2021-11-14,FIFA World Cup qualification,Ghana,South Africa,1,W,1,0,3,NA,Cape Coast,Ghana,FALSE,26.46153846153846,76.15384615384616,2,0
2021-11-14,FIFA World Cup qualification,South Africa,Ghana,-1,L,0,1,0,NA,Cape Coast,Ghana,FALSE,26.166666666666668,76.15384615384616,2,0
2021-11-14,FIFA World Cup qualification,Senegal,Congo,1,W,2,0,3,NA,Thiès,Senegal,FALSE,26.125,61.875,0,0
