date,tournament,team,opponent,location,result,score,opp_score,pred_score,pred_opp_score,D,L,W,is_draw,is_win,is_loss
2022-11-29,FIFA World Cup,Iran,United States,0,L,0,1,1.1631421935717223,1.220065871131264,0.2979875,0.3643481,0.3376645,0,0,1
2022-11-29,FIFA World Cup,Senegal,Ecuador,0,W,2,1,1.0615570075121221,1.1960950941436805,0.3065371,0.3790150,0.3144479,0,1,0
2022-11-29,FIFA World Cup,Netherlands,Qatar,-1,W,2,0,1.7552326862127372,1.1370477869717543,0.2553939,0.2419736,0.5026325,0,1,0
2022-11-29,FIFA World Cup,England,Wales,0,W,3,0,1.5437836332663712,0.6740241038966801,0.2751332,0.1584383,0.5664284,0,1,0
2022-11-29,FIFA World Cup,United States,Iran,0,W,1,0,1.2200848578813175,1.16313195645647,0.2979867,0.3376580,0.3643553,0,1,0
2022-11-30,FIFA World Cup,Poland,Argentina,0,L,0,2,0.816466678585029,1.8644130688482363,0.2395316,0.6035586,0.1569099,0,0,1
2022-11-30,FIFA World Cup,Saudi Arabia,Mexico,0,L,1,2,0.728984156607881,1.5820298833379698,0.2709206,0.5613970,0.1676824,0,0,1
2022-11-30,FIFA World Cup,Australia,Denmark,0,W,1,0,1.221264944568758,1.3446825714527009,0.2855195,0.3851832,0.3292973,0,1,0
2022-11-30,FIFA World Cup,Tunisia,France,0,W,1,0,0.9591571238188412,1.629552415961852,0.2671949,0.5151055,0.2176996,0,1,0
2022-11-30,FIFA World Cup,Argentina,Poland,0,W,2,0,1.864441580506369,0.816464677377998,0.2395284,0.1569065,0.6035651,0,1,0
2022-11-30,FIFA World Cup,Mexico,Saudi Arabia,0,W,2,1,1.5820586224421018,0.7289992315207843,0.2709171,0.1676828,0.5614001,0,1,0
2022-11-30,FIFA World Cup,Denmark,Australia,0,L,0,1,1.3447088680181563,1.2212531597651703,0.2855183,0.3292894,0.3851923,0,0,1
2022-11-30,FIFA World Cup,France,Tunisia,0,L,0,1,1.6295735228982693,0.959145423805706,0.2671927,0.2176939,0.5151134,0,0,1
2022-12-01,FIFA World Cup,Japan,Spain,0,W,2,1,1.150017078079495,1.7762246962451904,0.2536407,0.5043866,0.2419727,0,1,0
2022-12-01,FIFA World Cup,Costa Rica,Germany,0,L,2,4,1.03643755950998,1.8041390897816325,0.2506377,0.5368081,0.2125542,0,0,1
2022-12-01,FIFA World Cup,Croatia,Belgium,0,D,0,0,1.4063514192072457,1.7452765589805397,0.2532459,0.4423286,0.3044255,1,0,0
2022-12-01,FIFA World Cup,Canada,Morocco,0,L,1,2,1.1658478019885776,1.2625946952972291,0.2946016,0.3751762,0.3302221,0,0,1
2022-12-01,FIFA World Cup,Spain,Japan,0,L,1,2,1.7762644374983543,1.1500140554411455,0.2536375,0.2419664,0.5043961,0,0,1
2022-12-01,FIFA World Cup,Germany,Costa Rica,0,W,4,2,1.8041581669539677,1.036422569049293,0.2506358,0.2125483,0.5368158,0,1,0
2022-12-01,FIFA World Cup,Belgium,Croatia,0,D,0,0,1.7453011288589986,1.4063320981799565,0.2532448,0.3044172,0.4423380,1,0,0
2022-12-01,FIFA World Cup,Morocco,Canada,0,W,2,1,1.2625996591301423,1.1658245610757452,0.2946026,0.3302150,0.3751824,0,1,0
2022-12-02,FIFA World Cup,Serbia,Switzerland,0,L,2,3,1.3205205062453782,1.4266957809463272,0.2752994,0.3856147,0.3390858,0,0,1
2022-12-02,FIFA World Cup,Cameroon,Brazil,0,W,1,0,0.29951244689025724,1.951797156477916,0.19350163,0.75864793,0.04785045,0,1,0
2022-12-02,FIFA World Cup,Ghana,Uruguay,0,L,0,2,0.7584902859860909,1.4937036793752125,0.2827423,0.5314827,0.1857750,0,0,1
2022-12-02,FIFA World Cup,South Korea,Portugal,0,W,2,1,1.0289686259683446,1.5035913834529313,0.2790622,0.4677271,0.2532107,0,1,0
2022-12-02,FIFA World Cup,Switzerland,Serbia,0,W,3,2,1.4267095259899185,1.3205050350919518,0.2752993,0.3390795,0.3856212,0,1,0
2022-12-02,FIFA World Cup,Brazil,Cameroon,0,L,0,1,1.9518344586848557,0.299513087194327,0.19349652,0.04784909,0.75865439,0,0,1
2022-12-02,FIFA World Cup,Uruguay,Ghana,0,W,2,0,1.4937316123967532,0.7584991877754215,0.2827387,0.1857738,0.5314876,0,1,0
2022-12-02,FIFA World Cup,Portugal,South Korea,0,L,1,2,1.5036231897462624,1.0289639918794702,0.2790592,0.2532046,0.4677362,0,0,1
2022-12-03,FIFA World Cup,Netherlands,United States,0,W,3,1,1.6103115926897043,1.2532028984451609,0.2652925,0.2910188,0.4436887,0,1,0
2022-12-03,FIFA World Cup,Argentina,Australia,0,W,2,1,1.6762166517685317,0.9065430406907431,0.2620443,0.1989880,0.5389678,0,1,0
2022-12-03,FIFA World Cup,United States,Netherlands,0,L,1,3,1.2532071579949626,1.6102830517979552,0.2652944,0.4436811,0.2910245,0,0,1
2022-12-03,FIFA World Cup,Australia,Argentina,0,L,1,2,0.9065438987508752,1.676179232997205,0.2620483,0.5389588,0.1989929,0,0,1
2022-12-04,FIFA World Cup,France,Poland,0,W,3,1,1.7312881060347856,1.0545014054201816,0.2574487,0.2263226,0.5162287,0,1,0
2022-12-04,FIFA World Cup,England,Senegal,0,W,3,0,1.4840721243688497,0.8885060042320745,0.2833213,0.2204151,0.4962636,0,1,0
2022-12-04,FIFA World Cup,Poland,France,0,L,1,3,1.0545181943670334,1.7312736756470857,0.2574500,0.5162215,0.2263285,0,0,1
2022-12-04,FIFA World Cup,Senegal,England,0,L,0,3,0.888517289371487,1.4840513416732017,0.2833235,0.4962555,0.2204210,0,0,1
2022-12-05,FIFA World Cup,Japan,Croatia,0,D,1,1,1.4314369717830489,1.396843391168567,0.2714281,0.3568122,0.3717597,1,0,0
2022-12-05,FIFA World Cup,Brazil,South Korea,0,W,4,1,1.8778468706609006,0.5915480354956952,0.2271688,0.1081435,0.6646878,0,1,0
2022-12-05,FIFA World Cup,Croatia,Japan,0,D,1,1,1.396875747982746,1.4314354569985053,0.2714266,0.3717531,0.3568203,1,0,0
2022-12-05,FIFA World Cup,South Korea,Brazil,0,L,1,4,0.5915417834856176,1.8778019916984867,0.2271741,0.6646802,0.1081457,0,0,1
2022-12-06,FIFA World Cup,Morocco,Spain,0,D,0,0,0.956545688509439,1.684107832345794,0.2616019,0.5286249,0.2097732,1,0,0
2022-12-06,FIFA World Cup,Portugal,Switzerland,0,W,6,1,1.5698110114132344,1.1107716217924706,0.2714484,0.2632219,0.4653298,0,1,0
2022-12-06,FIFA World Cup,Spain,Morocco,0,D,0,0,1.684144204818375,0.9565440227430628,0.2615982,0.2097680,0.5286338,1,0,0
2022-12-06,FIFA World Cup,Switzerland,Portugal,0,L,1,6,1.1107898514626098,1.5697930439520738,0.2714496,0.4653213,0.2632291,0,0,1
2022-12-09,FIFA World Cup,Croatia,Brazil,0,D,1,1,0.783991480273611,1.9437618702611106,0.2295731,0.6282530,0.1421739,1,0,0
2022-12-09,FIFA World Cup,Netherlands,Argentina,0,D,2,2,1.268013960096014,1.6040793701068417,0.2653857,0.4390721,0.2955422,1,0,0
2022-12-09,FIFA World Cup,Brazil,Croatia,0,D,1,1,1.9437919960024383,0.7839797393569741,0.2295693,0.1421687,0.6282620,1,0,0
2022-12-09,FIFA World Cup,Argentina,Netherlands,0,D,2,2,1.6041094838049035,1.267999413307451,0.2653839,0.2955338,0.4390823,1,0,0
2022-12-10,FIFA World Cup,Morocco,Portugal,0,W,1,0,1.0583866924491483,1.4732967410487299,0.2812537,0.4533426,0.2654036,0,1,0
2022-12-10,FIFA World Cup,England,France,0,L,1,2,1.3473255489550668,1.3683560281048872,0.2774144,0.3659289,0.3566567,0,0,1
